customer_id,customer_name,customer_segment,signup_date
1,Toby Braunhardt,Consumer,2011-01-01
2,Joseph Holt,Consumer,2011-01-01
3,Annie Thurman,Consumer,2011-01-01
4,Eugene Moren,Home Office,2011-01-01
5,Magdelene Morse,Consumer,2011-01-02
6,Jas O'Carroll,Consumer,2011-01-03
7,Lindsay Williams,Corporate,2011-01-03
8,Jack Garza,Consumer,2011-01-03
9,Nat Gilpin,Corporate,2011-01-03
10,Kean Nguyen,Corporate,2011-01-03
11,Chris McAfee,Consumer,2011-01-03
12,Ken Lonsdale,Consumer,2011-01-03
13,Larry Blacks,Consumer,2011-01-03
14,Stewart Visinsky,Consumer,2011-01-03
15,Dorothy Dickinson,Consumer,2011-01-03
16,Dennis Pardue,Home Office,2011-01-03
17,Arthur Wiediger,Home Office,2011-01-04
18,Jasper Cacioppo,Consumer,2011-01-04
19,Grant Thornton,Corporate,2011-01-04
20,Bradley Drucker,Consumer,2011-01-04
21,Darren Powers,Consumer,2011-01-04
22,Beth Thompson,Home Office,2011-01-04
23,Maya Herman,Corporate,2011-01-04
24,Russell Applegate,Consumer,2011-01-04
25,Arthur Prichep,Consumer,2011-01-04
26,Michael Granlund,Home Office,2011-01-05
27,Phillina Ober,Home Office,2011-01-05
28,Shaun Weien,Consumer,2011-01-05
29,Khloe Miller,Consumer,2011-01-06
30,Mick Brown,Consumer,2011-01-06
31,Robert Dilbeck,Home Office,2011-01-06
32,Grace Kelly,Corporate,2011-01-06
33,Brosina Hoffman,Consumer,2011-01-06
34,Shahid Hopkins,Consumer,2011-01-06
35,Maria Etezadi,Home Office,2011-01-07
36,Adam Bellavance,Home Office,2011-01-07
37,Harry Marie,Corporate,2011-01-07
38,Maribeth Schnelling,Consumer,2011-01-07
39,Jack O'Briant,Corporate,2011-01-07
40,Alyssa Crouse,Corporate,2011-01-07
41,Lycoris Saunders,Consumer,2011-01-07
42,Joy Smith,Consumer,2011-01-07
43,Dave Poirier,Corporate,2011-01-07
44,Vivek Sundaresam,Consumer,2011-01-08
45,Christopher Martinez,Consumer,2011-01-08
46,Joe Elijah,Consumer,2011-01-08
47,Sample Company A,Home Office,2011-01-09
48,Alejandro Grove,Consumer,2011-01-09
49,Ed Braxton,Corporate,2011-01-09
50,Dan Lawera,Consumer,2011-01-10
51,Melanie Seite,Consumer,2011-01-10
52,Paul MacIntyre,Consumer,2011-01-10
53,Brian Dahlen,Consumer,2011-01-10
54,Ricardo Sperren,Corporate,2011-01-10
55,Elpida Rittenbach,Corporate,2011-01-10
56,Patrick O'Donnell,Consumer,2011-01-10
57,Sanjit Jacobs,Home Office,2011-01-10
58,Tiffany House,Corporate,2011-01-10
59,Jocasta Rupert,Consumer,2011-01-10
60,Greg Guthrie,Corporate,2011-01-10
61,Anthony Jacobs,Corporate,2011-01-11
62,David Flashing,Consumer,2011-01-11
63,Eric Murdock,Consumer,2011-01-11
64,Philip Fox,Consumer,2011-01-11
65,Steve Carroll,Home Office,2011-01-11
66,Tanja Norvell,Home Office,2011-01-11
67,Dianna Vittorini,Consumer,2011-01-11
68,Roy Collins,Consumer,2011-01-11
69,Chuck Sachs,Consumer,2011-01-11
70,Roy Phan,Corporate,2011-01-12
71,Shaun Chance,Corporate,2011-01-12
72,Seth Vernon,Consumer,2011-01-12
73,Peter Bühler,Consumer,2011-01-12
74,Anthony Garverick,Home Office,2011-01-12
75,Thomas Seio,Corporate,2011-01-12
76,Greg Matthias,Consumer,2011-01-13
77,Cari Sayre,Corporate,2011-01-13
78,Stuart Calhoun,Consumer,2011-01-13
79,Roger Demir,Consumer,2011-01-13
80,Ben Wallace,Consumer,2011-01-13
81,James Lanier,Home Office,2011-01-13
82,Bart Pistole,Corporate,2011-01-14
83,Bruce Degenhardt,Consumer,2011-01-14
84,Michael Moore,Consumer,2011-01-14
85,Chris Selesnick,Corporate,2011-01-14
86,Muhammed Yedwab,Corporate,2011-01-14
87,Sharelle Roach,Home Office,2011-01-14
88,Natalie DeCherney,Consumer,2011-01-14
89,Ted Butterfield,Consumer,2011-01-14
90,Steve Nguyen,Home Office,2011-01-14
91,Don Jones,Corporate,2011-01-15
92,Mick Crebagga,Consumer,2011-01-15
93,Craig Leslie,Home Office,2011-01-15
94,Brendan Sweed,Corporate,2011-01-15
95,Ross Baird,Home Office,2011-01-15
96,Erica Hackney,Consumer,2011-01-16
97,Edward Hooks,Corporate,2011-01-17
98,Delfina Latchford,Consumer,2011-01-17
99,Vivian Mathis,Consumer,2011-01-17
100,Tamara Willingham,Home Office,2011-01-17
101,Shirley Daniels,Home Office,2011-01-17
102,Beth Paige,Consumer,2011-01-18
103,Richard Bierner,Consumer,2011-01-18
104,Michael Dominguez,Corporate,2011-01-18
105,Charles Sheldon,Corporate,2011-01-18
106,Vivek Gonzalez,Consumer,2011-01-18
107,Patrick Gardner,Consumer,2011-01-19
108,Matt Abelman,Home Office,2011-01-19
109,Aleksandra Gannaway,Corporate,2011-01-19
110,Pauline Webber,Corporate,2011-01-19
111,David Wiener,Corporate,2011-01-19
112,Ann Blume,Corporate,2011-01-19
113,Michael Kennedy,Corporate,2011-01-19
114,Randy Bradley,Consumer,2011-01-20
115,Toby Swindell,Consumer,2011-01-20
116,Toby Ritter,Consumer,2011-01-20
117,Ruben Dartt,Consumer,2011-01-20
118,Michelle Arnett,Home Office,2011-01-20
